Geography,State,StateFIPS,CountyFIPS,,LandArea,Population
"Las Animas County, Colorado",CO,8,71,,12361063595,15207
"Lincoln County, Colorado",CO,8,73,,6697949259,6087
"Logan County, Colorado",CO,8,75,,4761754388,20504
"Mesa County, Colorado",CO,8,77,,8618821990,116255
"Mineral County, Colorado",CO,8,79,,2268101177,831
"Moffat County, Colorado",CO,8,81,,12282380220,13184
"Montezuma County, Colorado",CO,8,83,,5274855819,23830
"Montrose County, Colorado",CO,8,85,,5803157628,33432
"Morgan County, Colorado",CO,8,87,,3329068550,27171
"Otero County, Colorado",CO,8,89,,3270782045,20311
"Ouray County, Colorado",CO,8,91,,1399806609,3742
"Park County, Colorado",CO,8,93,,5699763631,14523
"Phillips County, Colorado",CO,8,95,,1780932211,4480
"Pitkin County, Colorado",CO,8,97,,2513379920,14872
"Prowers County, Colorado",CO,8,99,,4248570375,14483
"Pueblo County, Colorado",CO,8,101,,6186671073,141472
"Rio Blanco County, Colorado",CO,8,103,,8342274100,5986
"Rio Grande County, Colorado",CO,8,105,,2361045181,12413
"Routt County, Colorado",CO,8,107,,6116485842,19690
"Saguache County, Colorado",CO,8,109,,8206210445,5917
"San Juan County, Colorado",CO,8,111,,1003420663,558
"San Miguel County, Colorado",CO,8,113,,3332026214,6594
"Sedgwick County, Colorado",CO,8,115,,1419924040,2747
"Summit County, Colorado",CO,8,117,,1575131920,23548
"Teller County, Colorado",CO,8,119,,1442785299,20555
"Washington County, Colorado",CO,8,121,,6529308773,4926
"Weld County, Colorado",CO,8,123,,10340389679,180936
"Yuma County, Colorado",CO,8,125,,6127373276,9841
"Fairfield County, Connecticut",CT,9,1,,1620819817,882567
"Hartford County, Connecticut",CT,9,3,,1904779991,857183
"Litchfield County, Connecticut",CT,9,5,,2382586770,182193
"Middlesex County, Connecticut",CT,9,7,,956385973,155071
"New Haven County, Connecticut",CT,9,9,,1568595966,824008
"New London County, Connecticut",CT,9,11,,1724711552,259088
"Tolland County, Connecticut",CT,9,13,,1062078671,136364
"Windham County, Connecticut",CT,9,15,,1328024634,109091
"Kent County, Delaware",DE,10,1,,1527371028,126697
"New Castle County, Delaware",DE,10,3,,1104023324,500265
"Sussex County, Delaware",DE,10,5,,2428312916,156638
"District of Columbia, District of Columbia",DC,11,1,,159033692,572059
"Alachua County, Florida",FL,12,1,,2264284694,217955
"Baker County, Florida",FL,12,3,,1515692328,22259
"Bay County, Florida",FL,12,5,,1977917239,148217
"Bradford County, Florida",FL,12,7,,759210943,26088
"Brevard County, Florida",FL,12,9,,2637097850,476230
"Broward County, Florida",FL,12,11,,3121961057,1623018
"Calhoun County, Florida",FL,12,13,,1469328284,13017
"Charlotte County, Florida",FL,12,15,,1796425560,141627
"Citrus County, Florida",FL,12,17,,1512062538,118085
"Clay County, Florida",FL,12,19,,1556861192,140814
"Collier County, Florida",FL,12,21,,5245610020,251377
"Columbia County, Florida",FL,12,23,,2064343146,56513
"DeSoto County, Florida",FL,12,27,,1650512416,32209
"Dixie County, Florida",FL,12,29,,1823390223,13827
"Duval County, Florida",FL,12,31,,2003789932,778879
"Escambia County, Florida",FL,12,33,,1715486995,294410
"Flagler County, Florida",FL,12,35,,1256133782,49832
"Franklin County, Florida",FL,12,37,,1409833626,11057
"Gadsden County, Florida",FL,12,39,,1336776162,45087
"Gilchrist County, Florida",FL,12,41,,903626096,14437
"Glades County, Florida",FL,12,43,,2003731216,10576
"Gulf County, Florida",FL,12,45,,1436400451,13332
"Hamilton County, Florida",FL,12,47,,1333486443,13327
"Hardee County, Florida",FL,12,49,,1650602844,26938
"Hendry County, Florida",FL,12,51,,2985049625,36210
"Hernando County, Florida",FL,12,53,,1238813491,130802
"Highlands County, Florida",FL,12,55,,2663204750,87366
"Hillsborough County, Florida",FL,12,57,,2721840817,998948
"Holmes County, Florida",FL,12,59,,1249536744,18564
"Indian River County, Florida",FL,12,61,,1303362423,112947
"Jackson County, Florida",FL,12,63,,2371508002,46755
"Jefferson County, Florida",FL,12,65,,1548129422,12902
"Lafayette County, Florida",FL,12,67,,1405937770,7022
"Lake County, Florida",FL,12,69,,2468647214,210528
"Lee County, Florida",FL,12,71,,2081393117,440888
"Leon County, Florida",FL,12,73,,1726848272,239452
"Levy County, Florida",FL,12,75,,2896589908,34450
"Liberty County, Florida",FL,12,77,,2164882043,7021
"Madison County, Florida",FL,12,79,,1791740566,18733
"Manatee County, Florida",FL,12,81,,1919250962,264002
"Marion County, Florida",FL,12,83,,4089224040,258916
"Martin County, Florida",FL,12,85,,1439037748,126731
"Miami-Dade County, Florida",FL,12,86,,5040281893,2253362
"Monroe County, Florida",FL,12,87,,2581997405,79589
"Nassau County, Florida",FL,12,89,,1687510883,57663
"Okaloosa County, Florida",FL,12,91,,2423260572,170498
"Okeechobee County, Florida",FL,12,93,,2004504057,35910
"Orange County, Florida",FL,12,95,,2350283150,896344
"Osceola County, Florida",FL,12,97,,3423712812,172493
"Palm Beach County, Florida",FL,12,99,,5112913099,1131184
"Pasco County, Florida",FL,12,101,,1929148020,344765
"Pinellas County, Florida",FL,12,103,,724980947,921482
"Polk County, Florida",FL,12,105,,4854625486,483924
"Putnam County, Florida",FL,12,107,,1869686461,70423
"St. Johns County, Florida",FL,12,109,,1577327360,123135
"St. Lucie County, Florida",FL,12,111,,1482625971,192695
"Santa Rosa County, Florida",FL,12,113,,2633826493,117743
"Sarasota County, Florida",FL,12,115,,1480309966,325957
"Seminole County, Florida",FL,12,117,,798244204,365196
"Sumter County, Florida",FL,12,119,,1413432149,53345
"Suwannee County, Florida",FL,12,121,,1780979161,34844
"Taylor County, Florida",FL,12,123,,2698539748,19256
"Union County, Florida",FL,12,125,,622336384,13442
"Volusia County, Florida",FL,12,127,,2857403499,443343
"Wakulla County, Florida",FL,12,129,,1571240075,22863
"Walton County, Florida",FL,12,131,,2739071253,40601
"Washington County, Florida",FL,12,133,,1502009565,20973
"Appling County, Georgia",GA,13,1,,1317027712,17419
"Atkinson County, Georgia",GA,13,3,,875528174,7609
"Bacon County, Georgia",GA,13,5,,738015457,10103
"Baker County, Georgia",GA,13,7,,888935400,4074
"Baldwin County, Georgia",GA,13,9,,669369760,44700
"Banks County, Georgia",GA,13,11,,605204930,14422
"Barrow County, Georgia",GA,13,13,,420019739,46144
"Bartow County, Georgia",GA,13,15,,1189906958,76019
"Ben Hill County, Georgia",GA,13,17,,652144451,17484
"Berrien County, Georgia",GA,13,19,,1171745138,16235
"Bibb County, Georgia",GA,13,21,,647399370,153887
"Bleckley County, Georgia",GA,13,23,,563050373,11666
"Brantley County, Georgia",GA,13,25,,1150992836,14629
"Brooks County, Georgia",GA,13,27,,1278473476,16450
"Bryan County, Georgia",GA,13,29,,1144024867,23417
"Bulloch County, Georgia",GA,13,31,,1766557928,55983
"Burke County, Georgia",GA,13,33,,2150910202,22243
"Butts County, Georgia",GA,13,35,,483324085,19522
"Calhoun County, Georgia",GA,13,37,,725665602,6320
"Camden County, Georgia",GA,13,39,,1631466106,43664
"Candler County, Georgia",GA,13,43,,639404362,9577
"Carroll County, Georgia",GA,13,45,,1292230426,87268
"Catoosa County, Georgia",GA,13,47,,420162010,53282
"Charlton County, Georgia",GA,13,49,,2022186864,10282
"Chatham County, Georgia",GA,13,51,,1134710329,232048
"Chattahoochee County, Georgia",GA,13,53,,644309946,14882
"Chattooga County, Georgia",GA,13,55,,811515241,25470
"Cherokee County, Georgia",GA,13,57,,1097320817,141903
"Clarke County, Georgia",GA,13,59,,312847519,101489
"Clay County, Georgia",GA,13,61,,505586964,3357
"Clayton County, Georgia",GA,13,63,,369388178,236517
"Clinch County, Georgia",GA,13,65,,2096046195,6878
"Cobb County, Georgia",GA,13,67,,880984209,607751
"Coffee County, Georgia",GA,13,69,,1551133471,37413
"Colquitt County, Georgia",GA,13,71,,1430367856,42053
"Columbia County, Georgia",GA,13,73,,751134157,89288
"Cook County, Georgia",GA,13,75,,593153947,15771
"Coweta County, Georgia",GA,13,77,,1146372957,89215
"Crawford County, Georgia",GA,13,79,,841764778,12495
"Crisp County, Georgia",GA,13,81,,709186204,21996
"Dade County, Georgia",GA,13,83,,450600975,15154
"Dawson County, Georgia",GA,13,85,,546583978,15999
"Decatur County, Georgia",GA,13,87,,1545700986,28240
"DeKalb County, Georgia",GA,13,89,,694649134,665865
"Dodge County, Georgia",GA,13,91,,1295735235,19171
"Dooly County, Georgia",GA,13,93,,1017551127,11525
"Dougherty County, Georgia",GA,13,95,,853658496,96065
"Douglas County, Georgia",GA,13,97,,516182640,92174
"Early County, Georgia",GA,13,99,,1324085913,12354
"Echols County, Georgia",GA,13,101,,1046682366,3754
"Effingham County, Georgia",GA,13,103,,1241677488,37535
"Elbert County, Georgia",GA,13,105,,955071595,20511
"Emanuel County, Georgia",GA,13,107,,1776185016,21837
"Evans County, Georgia",GA,13,109,,478943937,10495
"Fannin County, Georgia",GA,13,111,,999062000,19798
"Fayette County, Georgia",GA,13,113,,510355880,91263
"Floyd County, Georgia",GA,13,115,,1329001018,90565
"Forsyth County, Georgia",GA,13,117,,584807414,98407
"Franklin County, Georgia",GA,13,119,,681929947,20285
"Fulton County, Georgia",GA,13,121,,1369218041,816006
"Gilmer County, Georgia",GA,13,123,,1105114210,23456
"Glascock County, Georgia",GA,13,125,,373322474,2556
"Glynn County, Georgia",GA,13,127,,1093928025,67568
"Gordon County, Georgia",GA,13,129,,920832558,44104
"Grady County, Georgia",GA,13,131,,1186536922,23659
"Greene County, Georgia",GA,13,133,,1005631089,14406
"Gwinnett County, Georgia",GA,13,135,,1120765173,588448
"Habersham County, Georgia",GA,13,137,,720457202,35902
"Hall County, Georgia",GA,13,139,,1019569684,139277
"Hancock County, Georgia",GA,13,141,,1225799782,10076
"Haralson County, Georgia",GA,13,143,,730665981,25690
"Harris County, Georgia",GA,13,145,,1200957325,23695
"Hart County, Georgia",GA,13,147,,601418422,22997
"Heard County, Georgia",GA,13,149,,766707720,11012
"Henry County, Georgia",GA,13,151,,835819604,119341
"Houston County, Georgia",GA,13,153,,975779569,110765
"Irwin County, Georgia",GA,13,155,,924128425,9931
"Jackson County, Georgia",GA,13,157,,886713334,41589
"Jasper County, Georgia",GA,13,159,,959391323,11426
"Jeff Davis County, Georgia",GA,13,161,,863463103,12684
"Jefferson County, Georgia",GA,13,163,,1366607272,17266
"Jenkins County, Georgia",GA,13,165,,905996073,8575
"Johnson County, Georgia",GA,13,167,,788037039,8560
"Jones County, Georgia",GA,13,169,,1019799727,23639
"Lamar County, Georgia",GA,13,171,,478683917,15912
"Lanier County, Georgia",GA,13,173,,483873307,7241
"Laurens County, Georgia",GA,13,175,,2103767864,44874
"Lee County, Georgia",GA,13,177,,921438960,24757
"Liberty County, Georgia",GA,13,179,,1344337505,61610
"Lincoln County, Georgia",GA,13,181,,546731047,8348
"Long County, Georgia",GA,13,183,,1038375404,10304
"Lowndes County, Georgia",GA,13,185,,1305927264,92115
"Lumpkin County, Georgia",GA,13,187,,736771861,21016
"McDuffie County, Georgia",GA,13,189,,672808402,21231
"McIntosh County, Georgia",GA,13,191,,1122627946,10847
"Macon County, Georgia",GA,13,193,,1044500275,14074
"Madison County, Georgia",GA,13,195,,735244939,25730
"Marion County, Georgia",GA,13,197,,950523954,7144
"Meriwether County, Georgia",GA,13,199,,1303494988,22534
"Miller County, Georgia",GA,13,201,,733086780,6383
"Mitchell County, Georgia",GA,13,205,,1325963353,23932
"Monroe County, Georgia",GA,13,207,,1024675743,21757
"Montgomery County, Georgia",GA,13,209,,635389441,8270
"Morgan County, Georgia",GA,13,211,,905550810,15457
"Murray County, Georgia",GA,13,213,,892021622,36506
"Muscogee County, Georgia",GA,13,215,,560106351,186291
"Newton County, Georgia",GA,13,217,,715958451,62001
"Oconee County, Georgia",GA,13,219,,480973488,26225
"Oglethorpe County, Georgia",GA,13,221,,1142472771,12635
"Paulding County, Georgia",GA,13,223,,811780741,81678
"Peach County, Georgia",GA,13,225,,391239596,23668
"Pickens County, Georgia",GA,13,227,,601210901,22983
